kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
irrelevant_high,4,101741,21.94184397561237,0.0001710397683751281,0.0037529279113119396,0.50825
relevant_mid,4,101742,6.989573901879946,0.9969718159809051,6.968408185889991,0.861
mixed_budget_limited,4,101743,21.150992522486217,0.0006155001856005366,0.01301843982322583,0.512
relevant_high,4,101744,24.804369240291123,0.9991550480729259,24.783410740701683,0.861
random,12,101820,0.9902566456412285,0.364547579106014,0.3609956628621518,0.628
irrelevant_high,12,101821,41.60392645509757,0.1728797598116507,7.192476812778849,0.561
relevant_mid,12,101822,7.117842621234219,0.9984729677640134,7.106973446100915,0.6435
mixed_budget_limited,12,101823,40.018912490875806,0.9976493418005259,39.924841706095094,0.7765
relevant_high,12,101824,24.452662855602316,0.9997393643582196,24.446289620125707,0.71175
random,4,101840,0.506400972095675,0.06703187982012235,0.03394500910231042,0.4515
irrelevant_high,4,101841,21.651524566038404,0.00011091737292079977,0.002401530224595139,0.48725
relevant_mid,4,101842,7.159872623380652,0.9948589953355244,7.123063684826801,0.85875
mixed_budget_limited,4,101843,21.101869515954977,0.00028060185665436925,0.005921223765055203,0.507
relevant_high,4,101844,24.48922867982037,0.9995258440440038,24.477616966184083,0.8615
random,12,101920,0.9393898320502401,0.17557891600581302,0.1649370484182639,0.5635
irrelevant_high,12,101921,41.94596881085012,0.05403437954072415,2.266524398928853,0.51075
relevant_mid,12,101922,7.136962896076471,0.9983359622535808,7.1250867204226065,0.76625
mixed_budget_limited,12,101923,40.08940934318177,0.9968805833386948,39.964353771734764,0.7815
relevant_high,12,101924,24.401537255052695,0.9992086620532619,24.382227392664028,0.7355
random,4,101940,0.46575411258408694,0.11476778883140618,0.05345356964040947,0.51625
irrelevant_high,4,101941,22.104211268717314,0.00023482395844793698,0.005190598388489695,0.49825
relevant_mid,4,101942,7.0775841601491924,0.9953190036922337,7.044454014827629,0.82875
mixed_budget_limited,4,101943,20.993958466176416,0.00023435782984538466,0.004920098545997245,0.499
relevant_high,4,101944,24.66408457914403,0.9991148645751349,24.642253524161163,0.838
random,12,102020,0.9830391737079245,0.4226765325527638,0.4155075893063995,0.448
irrelevant_high,12,102021,41.85990004599758,0.12887751964548622,5.394800090536142,0.5605
relevant_mid,12,102022,6.881421511910517,0.9971406981875384,6.861745450909199,0.76525
mixed_budget_limited,12,102023,40.14303833700517,0.9989035535216165,40.09902364398895,0.76675
relevant_high,12,102024,24.921209934252023,0.9994202769081063,24.906762533375208,0.77775
random,4,102040,0.4714583392618512,0.14794591481150532,0.06975033529760762,0.59275
irrelevant_high,4,102041,22.06382061609434,2.8088767478534114e-05,0.0006197455269735612,0.49875
relevant_mid,4,102042,7.045133976108232,0.9968638111474225,7.023039105467447,0.80625
mixed_budget_limited,4,102043,20.730513460371867,0.00017244720402153022,0.003574919084171826,0.492
relevant_high,4,102044,24.55895704304099,0.9994237790669103,24.54480565789794,0.8035
random,12,102120,0.9673355969308357,0.4649156755069042,0.4497294824889739,0.60625
